Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CarInsurance,CallLengthMin
32,management,single,tertiary,0,1218,1,0,telephone,28,jan,2,-1,0,unknown,0,1.16666666666667
32,blue-collar,married,primary,0,1156,1,0,unknown,26,may,5,-1,0,unknown,0,3.08333333333333
29,management,single,tertiary,0,637,1,0,cellular,3,jun,1,119,1,failure,1,5.66666666666667
25,student,single,primary,0,373,1,0,cellular,11,may,2,-1,0,unknown,1,13.65
30,management,married,tertiary,0,2694,0,0,cellular,3,jun,1,-1,0,unknown,0,3.2
32,technician,single,tertiary,0,1625,0,0,cellular,22,may,1,109,1,failure,1,13.2666666666667
37,admin.,single,tertiary,0,1000,1,0,cellular,17,mar,1,-1,0,unknown,1,3.25
35,management,divorced,tertiary,0,538,1,0,unknown,12,may,4,-1,0,unknown,0,1.1
30,admin.,married,secondary,0,187,1,0,cellular,18,nov,1,-1,0,unknown,0,1.76666666666667
30,blue-collar,married,secondary,0,3,1,1,cellular,12,may,2,-1,0,unknown,0,5.43333333333333
27,services,single,secondary,0,0,0,0,cellular,1,jun,1,-1,0,unknown,0,3.01666666666667
53,blue-collar,married,primary,1,-462,0,0,cellular,29,jan,1,-1,0,unknown,1,7.83333333333333
44,technician,married,secondary,0,2776,1,0,cellular,27,jan,1,-1,0,unknown,1,11.6833333333333
38,self-employed,divorced,secondary,0,2674,1,0,unknown,19,jun,2,-1,0,unknown,0,2.71666666666667
25,services,single,unknown,0,2022,0,0,cellular,29,jul,8,97,12,other,1,4.6
61,management,single,tertiary,0,2,0,0,cellular,12,aug,1,114,3,failure,1,2.18333333333333
34,admin.,single,secondary,0,69,1,0,telephone,6,may,3,362,4,other,0,1.53333333333333
46,management,married,tertiary,0,7331,0,0,cellular,11,sep,4,95,2,other,1,10.9666666666667
49,blue-collar,married,secondary,0,2039,1,0,cellular,6,may,1,169,2,failure,1,7.51666666666667
50,blue-collar,married,primary,0,82,0,0,telephone,5,apr,1,-1,0,unknown,1,7.6
57,blue-collar,married,secondary,0,773,1,1,unknown,18,jun,8,-1,0,unknown,0,1.61666666666667
80,retired,married,secondary,0,8304,0,0,telephone,8,sep,3,91,13,success,1,10.1
31,management,single,tertiary,0,0,0,0,cellular,21,aug,2,-1,0,unknown,0,3.63333333333333
63,retired,married,secondary,0,2896,0,0,cellular,1,jul,1,119,2,success,1,5.06666666666667
60,technician,married,secondary,0,824,1,0,cellular,9,feb,1,558,7,other,1,2.11666666666667
29,management,married,tertiary,0,900,0,0,cellular,17,jul,2,-1,0,unknown,0,4.58333333333333
54,management,married,primary,0,3859,0,1,cellular,20,nov,3,-1,0,unknown,0,1.73333333333333
45,unknown,divorced,unknown,0,0,0,0,cellular,21,apr,3,-1,0,unknown,1,4.63333333333333
34,services,married,secondary,0,-62,1,0,unknown,16,jun,3,-1,0,unknown,0,1.81666666666667
42,blue-collar,married,primary,0,832,0,0,unknown,20,jun,14,-1,0,unknown,0,0.216666666666667
54,technician,married,secondary,0,0,0,0,telephone,30,apr,3,84,3,success,1,12.7666666666667
32,admin.,single,secondary,0,6981,1,0,cellular,2,jun,1,194,3,failure,0,2.56666666666667
57,retired,single,tertiary,0,842,0,0,cellular,13,aug,3,-1,0,unknown,1,4.73333333333333
36,management,divorced,tertiary,0,1057,0,0,cellular,5,feb,2,-1,0,unknown,0,6.38333333333333
34,blue-collar,single,secondary,0,1698,1,0,unknown,27,may,7,-1,0,unknown,0,0.65
39,blue-collar,married,secondary,0,300,1,0,cellular,14,may,1,-1,0,unknown,0,8.43333333333333
31,blue-collar,married,secondary,0,664,1,1,unknown,21,may,3,-1,0,unknown,0,16.45
33,admin.,married,secondary,0,0,1,0,cellular,30,jul,5,-1,0,unknown,0,0.683333333333333
41,blue-collar,divorced,primary,0,138,1,0,cellular,18,jul,3,-1,0,unknown,1,10.6666666666667
35,admin.,married,secondary,0,216,1,1,cellular,17,nov,3,-1,0,unknown,0,1.16666666666667
32,management,married,secondary,0,3935,1,0,unknown,29,may,2,-1,0,unknown,0,2.15
40,blue-collar,married,secondary,0,327,1,0,unknown,29,may,1,-1,0,unknown,0,2.23333333333333
35,management,single,tertiary,0,2707,0,0,cellular,5,feb,1,-1,0,unknown,1,11.65
40,admin.,married,secondary,0,2574,1,0,cellular,15,may,1,176,1,failure,1,7.2
60,management,married,tertiary,0,70,0,0,cellular,21,aug,1,-1,0,unknown,0,0.6
35,blue-collar,single,secondary,0,0,1,0,unknown,3,jun,3,-1,0,unknown,0,1.88333333333333
42,management,divorced,secondary,0,283,1,0,cellular,23,jul,1,-1,0,unknown,1,12.6833333333333
79,retired,divorced,primary,0,79,0,0,cellular,9,oct,2,-1,0,unknown,1,18.4333333333333
46,admin.,single,secondary,0,13,0,0,unknown,2,jun,4,-1,0,unknown,0,1.18333333333333
33,technician,divorced,secondary,0,464,0,0,cellular,4,feb,4,-1,0,unknown,0,3.45
54,services,divorced,unknown,0,0,1,0,cellular,16,apr,1,-1,0,unknown,0,4.38333333333333
46,housemaid,married,primary,0,17,0,0,unknown,17,jun,1,-1,0,unknown,0,1.2
47,self-employed,married,secondary,0,4420,1,1,cellular,20,nov,1,-1,0,unknown,1,7.56666666666667
78,retired,married,unknown,0,3208,0,0,telephone,20,may,3,-1,0,unknown,1,5.85
31,blue-collar,married,secondary,0,326,0,1,cellular,29,jan,1,-1,0,unknown,0,2.06666666666667
39,services,married,secondary,0,52,0,0,telephone,2,feb,3,-1,0,unknown,1,23.6666666666667
31,admin.,married,secondary,0,457,1,0,cellular,21,nov,1,171,5,failure,0,4.71666666666667
