status,duration,credit_history,purpose,amount,savings,installment_rate,other_debtors,property,age,other_installment_plans,housing,number_credits,job,people_liable,default
0,18,1,3,1049,0,1,3,2,21,2,1,1,2,1,0
0,9,1,6,2799,0,3,3,4,36,2,1,2,2,2,0
1,12,0,9,841,1,3,3,4,23,2,1,1,4,1,0
0,12,1,6,2122,0,2,3,4,39,2,1,2,4,2,0
0,12,1,6,2171,0,1,3,2,38,1,3,2,4,1,0
0,10,1,6,2241,0,4,3,4,48,2,1,2,4,2,0
0,8,1,6,3398,0,4,3,4,39,2,3,2,4,1,0
0,6,1,6,1361,0,3,3,4,40,2,3,1,4,2,0
3,18,1,5,1098,0,1,3,1,65,2,3,2,3,1,0
1,24,0,5,3758,2,4,3,3,23,2,1,1,3,1,0
0,11,1,6,3905,0,3,3,4,36,2,1,2,2,2,0
0,30,1,2,6187,1,4,3,1,24,2,1,2,2,1,0
0,6,1,5,1957,0,4,3,1,31,2,3,1,2,1,0
1,48,2,1,7582,1,3,3,3,31,2,3,1,1,1,0
0,18,0,5,1936,4,3,3,1,23,2,1,2,4,1,0
0,6,0,5,2647,2,3,3,4,44,2,1,1,2,2,0
0,11,1,6,3939,0,4,3,4,40,2,3,2,4,2,0
1,18,0,5,3213,2,4,3,4,25,2,1,1,2,1,0
1,36,1,5,2337,0,1,3,4,36,2,3,1,2,1,0
3,11,1,6,7228,0,4,3,2,39,2,3,2,4,1,0
0,6,1,6,3676,0,4,3,4,37,2,1,3,2,2,0
1,12,1,6,3124,0,4,3,4,49,1,3,2,4,2,0
1,36,0,4,2384,0,1,3,3,33,2,1,1,4,1,1
1,12,1,7,1424,0,1,3,2,26,2,3,1,2,1,0
0,6,1,6,4716,4,4,3,4,44,2,3,2,4,2,0
1,11,2,5,4771,0,3,3,2,51,2,3,1,2,1,0
0,12,0,3,652,0,1,3,2,24,2,1,1,2,1,0
1,9,1,5,1154,0,3,3,4,37,2,3,3,4,1,0
3,15,0,6,3556,4,2,3,3,29,2,3,1,2,1,0
2,42,1,2,4796,0,1,3,3,56,2,2,1,2,1,0
2,30,1,5,3017,0,1,3,2,47,2,3,1,2,1,0
3,36,1,6,3535,0,1,3,1,37,2,3,2,2,1,0
3,36,1,6,6614,0,1,3,1,34,2,3,2,1,1,0
3,24,0,5,1376,2,1,3,1,28,2,3,1,2,1,0
0,15,0,6,1721,0,3,3,4,36,2,3,1,2,1,0
0,6,1,6,860,0,4,3,3,39,2,3,2,2,1,0
3,12,1,6,1495,0,1,3,4,38,2,3,2,4,2,0
3,12,1,5,1934,0,3,3,3,26,2,3,2,2,1,0
3,18,0,2,3378,4,3,3,2,31,2,3,1,2,1,0
3,24,1,2,3868,0,1,3,1,41,2,1,2,1,1,0
3,12,1,4,996,4,1,3,4,23,2,3,2,2,1,0
0,24,0,1,1755,0,1,2,4,58,2,3,1,4,1,0
3,18,1,6,1028,0,1,3,4,36,2,3,2,2,1,0
1,24,1,9,2825,4,1,3,3,34,2,3,2,2,2,0
1,18,0,8,1239,4,1,3,3,61,2,2,1,2,1,0
0,18,0,6,1216,0,1,3,1,23,2,1,1,2,1,1
3,24,0,9,1258,0,1,3,4,25,2,3,1,2,1,0
3,18,1,8,1864,1,1,3,4,30,2,3,2,2,1,1
3,24,0,6,1474,1,1,3,4,33,2,3,1,2,1,0
0,24,1,9,1382,1,1,3,4,26,2,3,2,2,1,0
3,12,0,6,640,0,1,3,4,49,2,3,1,4,1,0
2,36,0,5,3919,0,3,3,4,23,2,3,1,2,1,0
3,9,1,6,1224,0,2,3,4,30,2,3,2,2,1,0
3,12,1,5,2331,4,4,1,4,49,2,3,1,2,1,0
3,24,0,2,6313,4,2,3,1,41,2,3,1,1,2,0
0,12,1,5,385,0,1,3,4,58,2,3,4,4,1,0
3,12,1,5,1655,0,3,3,4,63,2,3,2,4,1,0
