sex,marriage,nr_dependants,income,income_other,bank_accounts,bank_accounts_sp,assets,age,default,credit_card
1,6,1,900,0,0,0,0,32,1,1
1,2,0,750,0,0,0,0,34,1,0
1,2,0,500,0,0,0,0,27,0,0
1,2,0,500,0,0,0,0,61,0,0
2,2,0,1200,0,0,0,0,48,1,0
2,2,0,500,0,1,1,0,40,1,0
1,2,2,320,0,0,0,0,40,1,0
1,1,0,489,0,0,0,0,28,0,0
1,1,0,450,0,1,1,0,31,0,0
1,1,0,1507,0,1,1,0,41,0,1
1,2,0,200,0,0,0,0,36,0,1
1,1,1,403,0,0,0,0,29,0,0
1,1,1,380,0,0,0,0,41,0,0
1,2,2,607,0,0,0,0,36,0,0
1,1,0,375,0,0,0,0,19,1,0
1,2,1,550,0,0,0,0,49,0,1
1,1,0,594.8,0,0,0,0,27,0,0
1,1,0,457,134,0,0,50000,32,0,0
2,2,2,1992.9,0,0,0,0,58,0,0
2,1,3,600,0,0,0,0,31,0,0
2,2,1,2233.54,0,0,0,0,40,0,0
2,1,3,612,0,0,0,0,69,0,1
2,2,2,966.3,0,0,0,0,39,0,1
1,1,0,748,0,0,0,0,42,0,0
1,5,0,865,0,1,1,0,47,0,0
1,2,0,350,0,0,0,0,42,0,0
1,2,1,350,0,1,1,0,30,0,0
1,1,0,350,0,1,1,0,26,1,0
1,1,0,1500,0,0,0,0,32,0,0
2,2,0,350,0,1,1,0,58,0,0
2,2,0,278,0,0,0,0,60,0,0
1,1,1,387,0,1,1,0,45,1,0
1,3,1,246.98,0,0,0,0,48,0,0
2,7,1,1262,0,0,0,80,56,0,1
1,2,0,1100,0,0,0,0,49,1,1
1,4,1,360,0,0,0,0,71,0,0
2,2,0,400,0,0,0,0,38,0,0
2,5,0,350,0,0,0,0,69,0,0
2,2,1,261,0,0,0,0,60,0,0
2,2,0,830,0,0,0,0,36,1,0
1,2,0,628,0,1,1,0,41,0,0
1,2,0,380,0,0,0,0,45,1,0
1,4,1,1101,0,0,0,0,53,0,0
1,4,0,2141,0,1,1,0,79,0,0
2,1,0,542,0,0,0,0,31,0,0
2,1,0,700,0,0,0,0,22,0,0
1,1,0,591,0,0,0,0,37,0,0
1,1,1,3000,0,1,1,150000,55,0,1
2,2,1,550,0,0,0,0,25,0,0
1,1,1,450,0,0,0,0,38,0,0
2,2,2,608,0,1,1,0,37,1,1
1,1,0,1458,0,0,0,0,28,0,0
1,1,0,351,0,0,0,0,67,0,0
2,2,0,880,0,0,0,0,21,0,0
2,1,0,441,0,0,0,0,30,0,0
2,2,0,536,0,0,0,0,50,1,0
2,6,0,500,0,0,0,0,21,0,0
